
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server

  2026-03-04 13:36:55 / ............................................ ~ 0.07ms
  2026-03-04 13:36:55 /.well-known/appspecific/com.chrome.devtools.json  ~ 0.02ms
  2026-03-04 13:36:55 /build/assets/app-D5EsiSJk.css ............... ~ 0.08ms
  2026-03-04 13:36:55 /build/assets/app-CjDuiK26.js ................ ~ 0.16ms
  2026-03-04 13:36:56 /build/assets/Login-R5iQ3AYC.js .............. ~ 0.27ms
  2026-03-04 13:36:56 /build/assets/Login-BLL06owR.css ............. ~ 0.77ms
  2026-03-04 13:36:56 /build/assets/materialdesignicons-webfont-Dp5v-WZN.woff2?v=7.4.47  ~ 0.15ms
  2026-03-04 13:36:56 /favicon.ico ................................. ~ 0.31ms
  2026-03-04 13:37:13 /api/login ................................... ~ 0.06ms
  2026-03-04 13:37:55 /api/login ................................... ~ 0.06ms
  2026-03-04 13:37:55 /api/login ................................... ~ 0.08ms
  2026-03-04 13:37:56 /api/login ................................... ~ 0.05ms
  2026-03-04 13:37:57 /api/login ................................... ~ 0.08ms
  2026-03-04 13:37:58 /api/login ................................... ~ 0.06ms
  2026-03-04 13:37:58 /api/login ................................... ~ 0.19ms
  2026-03-04 13:38:00 /api/login ................................... ~ 0.06ms
  2026-03-04 13:38:00 /api/login ................................... ~ 0.06ms
  2026-03-04 13:38:01 /api/login ................................... ~ 0.06ms
  2026-03-04 13:38:02 /api/login ................................... ~ 0.05ms
  2026-03-04 13:38:02 /api/login ................................... ~ 0.05ms
  2026-03-04 13:38:03 /api/login ................................... ~ 0.06ms
  2026-03-04 13:38:03 /api/login ................................... ~ 0.29ms
  2026-03-04 13:38:03 /api/login ................................... ~ 0.11ms
  2026-03-04 13:38:10 /api/login ................................... ~ 0.29ms
  2026-03-04 13:39:09 /api/login ................................... ~ 0.06ms
  2026-03-04 13:39:11 /api/login ................................... ~ 0.21ms
  2026-03-04 13:39:45 /api/login ................................... ~ 0.06ms
  2026-03-04 13:40:58 /api/login ................................. ~ 500.56ms
  2026-03-04 13:40:58 /api/login ................................... ~ 0.16ms
  2026-03-04 13:41:44 /login ..................................... ~ 500.22ms
  2026-03-04 13:41:44 /build/assets/app-D5EsiSJk.css ............. ~ 500.44ms
  2026-03-04 13:41:45 /build/assets/app-CjDuiK26.js ................ ~ 0.11ms
  2026-03-04 13:41:45 /build/assets/Login-BLL06owR.css ............. ~ 0.10ms
  2026-03-04 13:41:45 /build/assets/Login-R5iQ3AYC.js .............. ~ 0.26ms
  2026-03-04 13:41:45 /build/assets/materialdesignicons-webfont-Dp5v-WZN.woff2?v=7.4.47  ~ 0.03ms
  2026-03-04 13:41:45 /favicon.ico ................................. ~ 0.02ms
  2026-03-04 13:42:08 /api/login ................................. ~ 500.64ms
  2026-03-04 13:42:08 /build/assets/Home-gkb4tA-f.js ............... ~ 0.30ms
  2026-03-04 13:42:08 /build/assets/Dashboard-BkYorCEU.css ......... ~ 0.80ms
  2026-03-04 13:42:08 /build/assets/httpClient-DinKV8Z2.js ......... ~ 1.16ms
  2026-03-04 13:42:08 /build/assets/Home-x115xvPf.css .............. ~ 1.51ms
  2026-03-04 13:42:08 /build/assets/AppLayout-BAWXjvT4.js .......... ~ 1.96ms
  2026-03-04 13:42:08 /build/assets/Dashboard-Dap_S9ik.js .......... ~ 2.33ms
  2026-03-04 13:42:08 /favicon.ico ................................. ~ 0.10ms
  2026-03-04 13:42:30 /api/import/classesfs ........................ ~ 0.19ms
  2026-03-04 13:42:30 /favicon.ico ................................. ~ 0.10ms
  2026-03-04 13:42:39 /api/import/classes ........................ ~ 500.24ms
  2026-03-04 13:42:39 /favicon.ico ................................. ~ 0.03ms
  2026-03-04 13:43:17 /api/login ................................... ~ 0.22ms
  2026-03-04 13:43:24 /api/login ................................... ~ 0.06ms
  2026-03-04 13:43:25 /api/login ................................... ~ 0.08ms
  2026-03-04 13:43:31 /login ....................................... ~ 0.25ms
  2026-03-04 13:43:31 /build/assets/app-D5EsiSJk.css ............... ~ 1.40ms
  2026-03-04 13:43:31 /build/assets/app-CjDuiK26.js ................ ~ 0.64ms
  2026-03-04 13:43:31 /build/assets/Login-BLL06owR.css ............. ~ 0.14ms
  2026-03-04 13:43:31 /build/assets/Login-R5iQ3AYC.js .............. ~ 0.58ms
  2026-03-04 13:43:31 /favicon.ico ................................. ~ 0.10ms
  2026-03-04 13:43:31 /build/assets/materialdesignicons-webfont-Dp5v-WZN.woff2?v=7.4.47  ~ 0.15ms
  2026-03-04 13:43:40 /api/login ................................... ~ 0.22ms
  2026-03-04 13:45:33 /api/login ................................... ~ 0.22ms
  2026-03-04 13:45:34 /api/login ................................... ~ 0.24ms
  2026-03-04 13:46:24 /login ....................................... ~ 0.05ms
  2026-03-04 13:46:25 /build/assets/app-D5EsiSJk.css ............... ~ 0.03ms
  2026-03-04 13:46:25 /build/assets/app-CjDuiK26.js ................ ~ 0.11ms
  2026-03-04 13:46:25 /api/user .................................. ~ 500.20ms
  2026-03-04 13:46:25 /favicon.ico ................................. ~ 0.02ms
  2026-03-04 13:46:25 /build/assets/Dashboard-BkYorCEU.css ......... ~ 0.03ms
  2026-03-04 13:46:25 /build/assets/Dashboard-Dap_S9ik.js .......... ~ 0.09ms
  2026-03-04 13:46:25 /build/assets/AppLayout-BAWXjvT4.js .......... ~ 0.16ms
  2026-03-04 13:46:25 /api/dashboard ............................... ~ 0.02ms
  2026-03-04 13:46:25 /build/assets/materialdesignicons-webfont-Dp5v-WZN.woff2?v=7.4.47  ~ 0.02ms
  2026-03-04 13:46:25 /favicon.ico ................................. ~ 0.02ms
  2026-03-04 13:46:46 /build/assets/CoursesMy-Bbyrh7_2.js ........ ~ 500.69ms
